상호명,도로명주소,지번주소,위도,경도
푸른숲,강원특별자치도 원주시 천매봉길 32-15,강원특별자치도 원주시 단구동 1550-3,37.32349317,127.9433426
영란헤어샵,강원특별자치도 영월군 영월읍 중리1길 108,강원특별자치도 영월군 영월읍 덕포리 505-11,37.18163465,128.4821484
그린산업,강원특별자치도 동해시 효자남1길 4,강원특별자치도 동해시 동회동 64-5,37.48973865,129.1087614
터미널천궁단란주점,강원특별자치도 강릉시 원대로 6,강원특별자치도 강릉시 교동 1743-1,37.7550695,128.8819308
호텔느낌속초,강원특별자치도 속초시 온천로 313,강원특별자치도 속초시 교동 988-4,38.19335929,128.5767964
CU양양,강원특별자치도 양양군 양양읍 양양로 44,강원특별자치도 양양군 양양읍 남문리 11-2,38.07641519,128.6238169
한우구이,강원특별자치도 철원군 서면 와수로 177-1,강원특별자치도 철원군 서면 와수리 1173-3,38.23945546,127.4386207
탑플레이스피씨방문막점,강원특별자치도 원주시 문막읍 왕건로 22,강원특별자치도 원주시 문막읍 동화리 1267,37.32199842,127.8310526
한국공예디자인협회에덴카페,강원특별자치도 원주시 구곡길 21-8,강원특별자치도 원주시 단구동 1572-10,37.32189141,127.9482069
눈꽃가츠,강원특별자치도 화천군 화천읍 중앙로4길 21-6,강원특별자치도 화천군 화천읍 하리 52-17,38.10346986,127.7053823
떡있는마을,강원특별자치도 춘천시 영서로 2793,강원특별자치도 춘천시 우두동 742-1,37.90188636,127.7274632
비전공인중개사사무소,강원특별자치도 철원군 서면 와수로 157-1,강원특별자치도 철원군 서면 와수리 1140-32,38.23789116,127.4374448
포차천국,강원특별자치도 춘천시 성심로 9,강원특별자치도 춘천시 교동 156-4,37.882749,127.7395954
뷰티메이드,강원특별자치도 원주시 지정면 신지정로 255,강원특별자치도 원주시 지정면 가곡리 1468,37.37648177,127.8682148
피자헐,강원특별자치도 홍천군 홍천읍 신장대로 53,강원특별자치도 홍천군 홍천읍 희망리 325-12,37.69046089,127.8821522
스테이캠프펜션,강원특별자치도 평창군 봉평면 흥정계곡1길 9-2,강원특별자치도 평창군 봉평면 흥정리 253-1,37.63325428,128.3491241
태봉인테리어,강원특별자치도 강릉시 운정길11번길 80-9,강원특별자치도 강릉시 난곡동 391-8,37.78752385,128.8735175
타코잉닭,강원특별자치도 춘천시 후석로258번길 28,강원특별자치도 춘천시 후평동 811-3,37.87449403,127.755686
해맞이모텔,강원특별자치도 강릉시 강동면 율곡로 1847-21,강원특별자치도 강릉시 강동면 안인진리 116-4,37.73258844,128.9887372
초록민박,강원특별자치도 강릉시 연곡면 진고개로 1612-10,강원특별자치도 강릉시 연곡면 퇴곡리 592-5,37.84665379,128.7150833
금학퇴비,강원특별자치도 철원군 갈말읍 호국로 4394,강원특별자치도 철원군 갈말읍 강포리 81-20,38.11722813,127.2931599
여우네손뜨개방,강원특별자치도 춘천시 약사고개길 13,강원특별자치도 춘천시 죽림동 11-4,37.8774833,127.7260526
동해썬팅,강원특별자치도 동해시 동해대로 5064,강원특별자치도 동해시 효가동 275-3,37.49816052,129.1109894
꼭지네식당,강원특별자치도 강릉시 강동면 대동안길 15,강원특별자치도 강릉시 강동면 안인리 558-50,37.72563246,128.9779476
블루스카이레포츠,강원특별자치도 춘천시 남산면 북한강변길 688,강원특별자치도 춘천시 남산면 백양리 29-7,37.83013203,127.5787958
합자회사건축사사무소디자인그룹아키토피아,강원특별자치도 철원군 갈말읍 삼부연로 46,강원특별자치도 철원군 갈말읍 신철원리 648-1,38.14600584,127.312996
아워홈근로복지공단정,강원특별자치도 정선군 정선읍 봉양1길 145,강원특별자치도 정선군 정선읍 봉양리 410-3,37.38325441,128.6602962
양리단길컴퍼니,강원특별자치도 양양군 현남면 인구길 28-21,강원특별자치도 양양군 현남면 인구리 638-1,37.96833822,128.7619348
참참참그래픽,강원특별자치도 춘천시 춘주로 89,강원특별자치도 춘천시 온의동 515-3,37.86223229,127.7198469
황조매점,강원특별자치도 삼척시 도계읍 황조길 46,강원특별자치도 삼척시 도계읍 황조리 155,37.20968169,129.0850137
핏앤피트니스기업도시점,강원특별자치도 원주시 지정면 신지정로 172,강원특별자치도 원주시 지정면 가곡리 1349-2,37.3744464,127.8776577
지에스25인제갯골점,강원특별자치도 인제군 인제읍 인제로 103,강원특별자치도 인제군 인제읍 남북리 379-1,38.06371149,128.1639543
아이블링,강원특별자치도 원주시 관설안길 19-12,강원특별자치도 원주시 관설동 1730-7,37.31721081,127.9619071
돌집쌈밥,강원특별자치도 화천군 간동면 춘양로 924,강원특별자치도 화천군 간동면 간척리 682-1,38.02851381,127.8206381
세븐일레븐연곡삼우,강원특별자치도 강릉시 연곡면 연주로 132,강원특별자치도 강릉시 연곡면 영진리 305-2,37.86777815,128.8386623
선복티테라피,강원특별자치도 강릉시 홍제로71번길 6,강원특별자치도 강릉시 홍제동 219-37,37.75397494,128.8837108
구쓰헤어,강원특별자치도 양양군 양양읍 양양로 74-1,강원특별자치도 양양군 양양읍 남문리 86-4,38.07497928,128.6210464
정희네,강원특별자치도 정선군 임계면 서동로 5928,강원특별자치도 정선군 임계면 직원리 523-8,37.5334892,128.9444309
명성반점솔올점,강원특별자치도 강릉시 하슬라로 129,강원특별자치도 강릉시 교동 1907-3,37.76169351,128.8732591
더플래닝,강원특별자치도 홍천군 북방면 노일로38번길 86,강원특별자치도 홍천군 북방면 노일리 592-1,37.67479298,127.7417976
디자인소선길,강원특별자치도 춘천시 가연길 17,강원특별자치도 춘천시 소양로4가 103-11,37.87796808,127.7214583
알트케이셀렉션미디어,강원특별자치도 원주시 양지로 20,강원특별자치도 원주시 반곡동 1880-9,37.32446039,127.9810066
춘천제일식자재,강원특별자치도 춘천시 옛경춘로 742,강원특별자치도 춘천시 삼천동 67-4,37.86392413,127.7078614
미래공인중개사사무소,강원특별자치도 철원군 서면 와수로 85-1,강원특별자치도 철원군 서면 와수리 1344-3,38.2322326,127.4335933
자담치킨단관,강원특별자치도 원주시 단관초교길 9,강원특별자치도 원주시 관설동 1713-1,37.31752731,127.9655174
정원농원,강원특별자치도 원주시 소초면 치악로 2838,강원특별자치도 원주시 소초면 평장리 854,37.421331,128.0039965
아리아나프라워,강원특별자치도 강릉시 주문진읍 장성로 45,강원특별자치도 강릉시 주문진읍 교항리 193-20,37.88827124,128.8253203
블룸청과,강원특별자치도 춘천시 충혼길52번길 19-18,강원특별자치도 춘천시 온의동 535-7,37.86009206,127.7178434
북촌손만두,강원특별자치도 강릉시 임영로 122,강원특별자치도 강릉시 성내동 8-5,37.75258487,128.8936011
퇴계닭갈비,강원특별자치도 춘천시 남춘로5번길 16,강원특별자치도 춘천시 퇴계동 1170-6,37.86286472,127.7282661
빌텍당구장,강원특별자치도 원주시 감영길 37,강원특별자치도 원주시 중앙동 126-2,37.34826838,127.9514169
쿠프만153,강원특별자치도 춘천시 서부대성로 241,강원특별자치도 춘천시 효자동 632-1,37.87281307,127.7448136
오월애만두전골,강원특별자치도 춘천시 후석로258번길 18,강원특별자치도 춘천시 후평동 817-1,37.87448239,127.7544243
세진한우실비,강원특별자치도 삼척시 도계읍 도계로 290-9,강원특별자치도 삼척시 도계읍 도계리 390-6,37.23513765,129.0449086
윈네트웍스,강원특별자치도 동해시 발한로 42,강원특별자치도 동해시 부곡동 87,37.53645644,129.1040895
해바라기,강원특별자치도 홍천군 홍천읍 공작산로 47,강원특별자치도 홍천군 홍천읍 갈마곡리 193,37.69186336,127.8980701
스크린다함께야구왕,강원특별자치도 화천군 사내면 사내로5길 9,강원특별자치도 화천군 사내면 사창리 457-75,38.07085106,127.5210827
굿초이스,강원특별자치도 태백시 먹거리길 102,강원특별자치도 태백시 황지동 253-9,37.17412251,128.9895206
강가애금빛펜션,강원특별자치도 영월군 한반도면 화랏길 282-25,강원특별자치도 영월군 한반도면 신천리 705-2,37.22897611,128.3075498
고향닭갈비,강원특별자치도 홍천군 홍천읍 신장대로 58,강원특별자치도 홍천군 홍천읍 희망리 326-9,37.69025416,127.8826628
정선애장어먹으러와요,강원특별자치도 정선군 북평면 장열길 13,강원특별자치도 정선군 북평면 북평리 43-1,37.45660805,128.675307
예가,강원특별자치도 춘천시 영서로2279번길 30,강원특별자치도 춘천시 온의동 515-1,37.86260165,127.7198228
장작블루스,강원특별자치도 원주시 백간공원길 15,강원특별자치도 원주시 단계동 1099-3,37.34930071,127.9263244
그리운언덕,강원특별자치도 홍천군 북방면 벌업길85번길 40-2,강원특별자치도 홍천군 북방면 원소리 398,37.71250004,127.7491413
넘버85가든,강원특별자치도 평창군 평창읍 노성로 225-19,강원특별자치도 평창군 평창읍 중리 151-6,37.36984777,128.4034372
피그놀리아커피,강원특별자치도 강릉시 난설헌로 195,강원특별자치도 강릉시 초당동 336,37.79099413,128.9114008
장성여고매점,강원특별자치도 태백시 일광마을길 8-12,강원특별자치도 태백시 문곡동 33-7,37.12630886,129.0056996
야구장,강원특별자치도 원주시 북원로 2235-6,강원특별자치도 원주시 단계동 853-5,37.34575349,127.9315988
그린차와호프,강원특별자치도 철원군 서면 와수로 167-2,강원특별자치도 철원군 서면 와수리 1140-9,38.23872281,127.4380209
샬롬신발,강원특별자치도 동해시 시장안길 26-2,강원특별자치도 동해시 발한동 13-11,37.5505073,129.1085067
산골보리굴비,강원특별자치도 인제군 북면 백담로 57,강원특별자치도 인제군 북면 용대리 603,38.19566341,128.3488125
엉클스톤,강원특별자치도 양양군 현남면 인구길 48-1,강원특별자치도 양양군 현남면 인구리 636-8,37.96852129,128.7614928
새마을공방,강원특별자치도 양양군 양양읍 남문5길 5-3,강원특별자치도 양양군 양양읍 남문리 22-1,38.07509721,128.6225975
함백산실비식당,강원특별자치도 정선군 고한읍 고한로 95-2,강원특별자치도 정선군 고한읍 고한리 85-21,37.20491392,128.8489019
고식당,강원특별자치도 고성군 토성면 교암길 80,강원특별자치도 고성군 토성면 교암리 3-4,38.29229995,128.5454326
바다회포차,강원특별자치도 강릉시 주문진읍 주문북로 15,강원특별자치도 강릉시 주문진읍 주문리 289-11,37.89623218,128.8310032
신화텔레콤,강원특별자치도 원주시 시청로 559,강원특별자치도 원주시 관설동 1709-1,37.31744695,127.9681575
강릉한우원,강원특별자치도 강릉시 옥천로65번길 3,강원특별자치도 강릉시 옥천동 278-10,37.75948535,128.8985188
다짐,강원특별자치도 강릉시 솔올로5번길 7,강원특별자치도 강릉시 교동 1889-1,37.76258779,128.876595
바지야,강원특별자치도 속초시 동해대로 4236,강원특별자치도 속초시 교동 737-7,38.19777057,128.5775048
해변민박,강원특별자치도 고성군 토성면 토성로 48,강원특별자치도 고성군 토성면 봉포리 2,38.25170141,128.5666202
치킨인류내곡,강원특별자치도 강릉시 관대길 33,강원특별자치도 강릉시 내곡동 618-5,37.73922957,128.877091
춘천지역먹거리통합지원센터,강원특별자치도 춘천시 마장길 39,강원특별자치도 춘천시 사농동 133-1,37.90984117,127.7269335
춘천녹색시민협동조합,강원특별자치도 춘천시 동내면 거두택지길26번길 16-10,강원특별자치도 춘천시 동내면 거두리 960-5,37.85278549,127.7543827
일등공인중개사사무소,강원특별자치도 속초시 온정로1길 30,강원특별자치도 속초시 조양동 1569,38.18669314,128.5892892
원주서가앤쿡,강원특별자치도 원주시 양지로 26,강원특별자치도 원주시 반곡동 1880-10,37.32459565,127.9815933
뻔뻔한망상협동조합,강원특별자치도 동해시 동해대로 6270-27,강원특별자치도 동해시 망상동 393-77,37.59342109,129.0894173
솔밭펜션,강원특별자치도 양양군 서면 용소길 162,강원특별자치도 양양군 서면 용소리 16,38.02804079,128.5593917
아저씨네닭도리탕,강원특별자치도 강릉시 가작로 304,강원특별자치도 강릉시 포남동 1235-6,37.77069855,128.9085069
백파식당,대전광역시 서구 청사로123번길 33,대전광역시 서구 월평동 261,36.36130637,127.3772954
줄또웰빙,대전광역시 동구 동서대로 1641,대전광역시 동구 용전동 145-5,36.34809056,127.4327043
